procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  17260  64788  40892 907764    0    2   156    61  127  148  1  1 98  0  0
 0  0  17260  64564  41024 907864    0    0     0  1380 1588 1772  0  0 99  0  0
 1  0  24720 143712  25412 857828    0 7604 64426 10332 4431 4714  2  2 96  0  0
 1  0  24720 122400  26572 860920    0    0  3831  1836 4395 5845  5  2 93  1  0
 1  0  24720 105200  29384 870492    8    0  8942 73452 10673 12144  6  4 88  1  0
 1  0  24720  85976  32072 885136    0    0 13488  2636 9562 8781  6  2 93  0  0
 1  1  25500  75880  32936 894672    0  696 11924  8964 10621 10119  4  3 92  1  0
 0  0  26268  69440  34512 901852    0  692  8620  4776 8068 7655  3  3 94  1  0
 0  0  26780 103224  33800 895004    0  624     0  1440 2665 2456  0  1 99  0  0
 0  0  26780  88808  33864 904312    0    0   128   692 2412 2033  1  0 99  0  0
 0  0  26780  81720  33928 911468    0    0     0   692 1996 1669  0  0 99  0  0
 0  0  26780  74728  33992 917692    0    0     0   692 1945 1649  0  0 99  0  0
 0  0  26780  75260  33948 919860    0   52     0   752 2680 2300  1  0 99  0  0
 2  0  30900  71504  31916 872436    0 4080 58232  4604 6011 5627  1  1 97  1  0
 0  1  33484  73008  29916 852880    0 2520 32163 61340 2020 2094  2  1 83 13  0
 0  3  37860  76836  28732 842208    0 4532 23660 58428  963  722  3  1 83 13  0
 1  0  38372  78792  28192 841404    4  496 33219 37424 1309  890  4  0 88  7  0
 1  0  43004  64364  26424 856084    0 4596 37730  4936  936  377  6  0 94  0  0
 1  0  43260  68932  24524 853504    0  232 39056   908 1140  811  6  1 93  0  0
 0  2  44552  85980  19956 839024    0 1284 35592 60132  816  524  2  1 89  8  0
 1  0  44552 126552  18236 896124    0    0 77073 40196  997  932  1  1 93  5  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0  44552 149280  18352 874432   12    0 28639  1224 1325 1273  7  1 92  1  0
 0  0  44552 146528  18388 874656   16    0   116   352 1095  871  6  0 94  1  0
 0  3  44552 107248  21124 887936   40    0 14903 28860 8159 9782  4  4 90  2  0
 1  6  44552 106492  21152 888984    0    0  1120 39204  921  743  0  0 80 20  0
 8  1  66700 105104  19144 748800  300 21120 11556 33212 3468 4428  9  3 68 20  0
 2  0  67212 172588  19036 728668    0  356  1296  1312 4115 1188 21  1 75  2  0
